user,pos_item,neg_item
186,300,250
186,322,295
186,742,1083
186,298,121
186,591,12
186,291,295
186,100,1083
186,983,1083
186,925,770
186,717,1083
186,977,295
186,595,118
186,281,554
186,56,106
186,79,295
186,44,12
186,31,770
186,203,53
186,939,1083
186,55,295
186,263,121
186,684,295
186,117,118
186,1042,295
186,1016,1083
186,356,12
186,566,295
186,226,250
186,405,554
186,1277,295
186,470,118
186,77,237
186,38,295
186,159,770
186,1046,12
186,1213,1083
186,385,118
186,934,770
186,550,288
186,568,118
186,540,53
186,294,406
186,225,820
186,1033,243
186,1336,243
186,596,1385
186,588,406
186,95,820
186,71,820
186,299,106
186,331,118
186,689,250
186,338,243
186,306,237
186,302,12
186,887,1385
186,327,1083
186,303,106
22,258,683
22,1000,110
22,186,1001
22,173,294
22,153,163
22,238,1003
22,154,688
22,201,998
22,433,367
22,455,110
22,210,2
22,692,988
22,202,998
22,168,294
22,209,862
22,211,688
22,4,878
22,290,926
22,194,791
22,204,411
22,208,377
22,430,996
22,792,163
22,648,997
22,502,1002
22,216,948
22,175,229
22,17,456
22,435,683
22,732,367
22,109,411
22,871,932
22,21,110
22,523,791
22,407,456
22,999,163
22,393,791
22,85,110
22,167,105
22,451,988
22,376,862
22,731,110
22,399,2
22,712,997
22,80,687
22,94,996
22,386,294
22,384,1003
22,358,1002
22,144,2
22,96,229
22,172,229
22,89,411
22,187,878
22,176,229
22,181,2
22,174,2
22,50,229
22,79,687
22,510,110
22,403,2
22,568,229
22,195,229
22,651,377
22,228,229
22,385,687
22,127,683
22,117,2
22,515,2
22,184,780
22,121,229
22,62,229
22,222,411
22,161,948
22,68,997
22,684,1003
244,268,255
244,886,255
244,324,144
244,258,471
244,294,1079
244,310,291
244,772,1012
244,856,818
244,721,367
244,42,301
244,317,468
244,1045,118
244,743,226
244,68,291
244,89,222
244,237,220
244,56,291
244,3,732
244,92,148
244,156,148
244,7,144
244,537,97
244,122,1225
244,780,455
244,241,118
244,318,1012
244,114,1053
244,214,950
244,215,97
244,101,121
244,1428,51
244,31,471
244,77,291
244,475,818
244,941,220
244,69,1053
244,433,235
244,179,291
244,660,1225
244,754,148
244,739,255
244,381,255
244,70,220
244,157,51
244,9,291
244,1150,148
244,276,51
244,100,148
244,508,468
244,181,685
244,126,950
244,246,1053
244,287,756
244,151,301
244,628,148
244,50,117
244,13,1047
244,1,455
244,458,51
244,924,220
244,111,550
244,1017,1012
244,762,1053
244,290,732
244,596,756
244,20,255
244,109,235
244,411,1047
244,763,105
244,1028,1095
244,676,118
244,240,301
244,249,455
244,871,32
244,281,121
244,866,1047
244,1132,255
244,764,367
244,815,220
244,278,51
244,409,1079
244,369,235
244,456,455
244,196,818
244,58,468
244,173,118
244,209,105
244,357,97
244,1467,950
244,1098,1095
244,64,291
244,724,1053
244,193,117
244,22,1012
244,172,685
244,186,105
244,735,471
244,191,468
244,65,1225
244,655,97
244,204,121
244,197,818
244,216,471
244,188,51
244,86,51
244,174,685
244,180,51
244,509,1012
244,183,222
244,651,471
244,153,732
244,168,1079
244,238,1095
244,527,468
244,428,220
244,746,1047
244,553,1053
244,707,950
244,169,32
244,26,255
244,208,367
244,28,118
244,521,51
244,154,756
244,171,1095
244,95,301
244,629,1079
244,135,121
244,52,1012
244,528,468
244,662,220
244,652,1225
244,1048,1053
244,234,148
244,410,32
244,955,255
244,584,756
244,265,117
244,845,818
244,673,226
244,82,121
244,200,235
244,217,51
244,631,1095
244,747,222
244,949,220
244,71,97
244,744,255
244,162,950
244,1119,1053
244,710,367
244,1109,471
244,723,1225
244,559,51
244,164,117
244,609,756
244,708,220
244,650,1079
244,697,1012
244,953,1047
115,310,77
115,269,284
115,302,471
115,137,237
115,628,77
115,273,470
115,696,596
115,980,69
115,121,265
115,741,284
115,475,496
115,922,496
115,93,237
115,124,471
115,508,470
115,762,69
115,279,284
115,847,596
115,952,763
115,1067,237
115,282,77
115,20,69
115,117,265
115,192,470
115,174,265
115,317,470
115,558,470
115,187,596
115,176,265
115,48,763
115,22,470
115,772,471
115,172,265
115,79,471
115,462,284
115,23,496
115,11,596
115,32,763
115,654,77
115,98,77
115,56,237
115,185,77
115,657,471
115,183,763
115,228,265
115,1073,265
115,684,284
115,431,265
115,673,77
115,466,77
115,443,471
115,218,265
115,642,77
115,33,265
115,229,265
115,127,496
115,479,77
115,100,77
115,8,69
115,234,265
115,7,77
115,12,471
115,9,596
115,357,237
305,300,245
305,286,326
305,242,197
305,690,245
305,302,56
305,904,15
305,305,275
305,268,237
305,272,1015
305,269,52
305,327,192
305,751,117
305,311,88
305,289,214
305,258,204
305,347,197
305,748,228
305,315,76
305,338,257
305,251,469
305,50,245
305,181,245
305,246,1074
305,298,56
305,249,257
305,127,76
305,511,87
305,318,87
305,98,76
305,97,215
305,134,11
305,174,245
305,963,76
305,154,749
305,423,91
305,173,91
305,170,485
305,166,188
305,89,144
305,806,76
305,480,228
305,223,179
305,59,237
305,464,88
305,1512,326
305,198,245
305,947,11
305,484,1513
305,474,482
305,14,52
305,169,222
305,175,192
305,12,179
305,285,275
305,191,87
305,190,326
305,178,56
305,209,749
305,129,943
305,505,1073
305,195,228
305,210,117
305,483,188
305,156,56
305,427,179
305,713,1074
305,168,204
305,153,1513
305,1,88
305,239,215
305,165,15
305,187,76
305,135,179
305,408,482
305,357,1015
305,527,87
305,923,237
305,530,117
305,171,943
305,45,275
305,143,485
305,478,749
305,479,144
305,189,214
305,81,469
305,845,1074
305,61,237
305,528,192
305,650,214
305,64,56
305,792,1073
305,961,215
305,131,485
305,83,88
305,582,15
305,462,275
305,512,214
305,216,1074
305,486,482
305,1101,257
305,865,275
305,663,197
305,684,245
305,48,192
305,238,1513
305,382,52
305,100,76
305,471,326
305,71,11
305,202,469
305,317,52
305,172,245
305,86,237
305,1104,197
305,199,188
305,431,117
305,282,76
305,180,188
305,176,228
305,856,1074
305,203,1015
305,207,52
305,186,245
305,1485,15
305,428,88
305,654,76
305,184,204
305,7,144
305,160,76
305,655,11
305,13,749
305,201,257
305,183,222
305,631,179
305,212,237
305,602,485
305,16,1513
305,529,469
305,60,15
305,287,192
305,196,1074
305,610,482
305,735,88
305,638,87
305,42,204
6,242,284
6,269,237
6,302,309
6,306,259
6,303,286
6,304,538
6,321,310
