head,type,value,tail_pos,tail_neg
300,1,6,299,1033
300,2,56,684,713
300,3,193,79,752
322,1,5,299,1225
322,3,152,595,652
742,1,5,281,201
742,3,14,684,218
298,1,3,117,223
298,3,416,117,1017
591,1,5,540,1655
591,3,894,291,346
291,1,3,689,1628
291,2,194,203,645
291,3,13,77,973
100,1,6,303,502
983,1,4,1046,594
925,1,6,100,144
717,1,6,55,1181
717,3,554,331,1144
977,1,5,1042,1124
595,1,6,302,1649
595,2,34,31,1247
595,3,152,540,978
281,1,5,1016,800
281,2,246,302,1100
56,1,6,470,1078
56,3,12,298,67
79,1,5,356,1286
79,3,193,300,1163
44,1,7,302,109
31,1,4,405,517
31,2,34,595,1313
31,3,118,934,22
203,1,6,331,263
203,2,194,291,724
203,3,13,291,1433
939,1,6,595,1414
939,3,711,300,315
55,1,3,298,1347
263,1,3,298,87
263,3,837,1336,169
684,1,5,1213,509
684,2,56,300,1431
684,3,14,742,261
117,1,4,742,362
117,3,417,291,571
1042,1,3,31,920
1042,3,826,299,1006
1016,1,3,385,1073
356,1,5,591,40
356,3,111,79,1682
566,1,6,595,912
566,3,193,79,633
226,1,4,77,1379
226,3,25,689,246
405,1,3,1277,1327
405,3,284,77,914
1277,1,6,100,158
470,1,3,298,1125
470,3,107,385,1072
77,1,6,684,99
77,3,13,203,869
38,1,5,977,390
38,3,145,568,1157
159,1,6,689,835
159,3,120,31,168
1046,1,5,298,1055
1046,3,554,717,446
1213,1,4,327,774
385,1,4,717,1661
385,3,107,470,217
934,1,6,566,830
934,3,118,31,1023
568,1,5,327,1033
568,3,145,38,318
540,1,3,1277,76
540,3,152,322,1360
294,1,2,338,633
225,1,2,540,567
1033,1,1,405,1256
1336,1,12,294,111
1336,3,837,263,488
596,1,10,1033,1362
596,2,450,588,1561
596,3,266,71,1040
588,1,10,338,612
588,2,450,596,1511
95,1,1,405,489
71,1,6,159,1078
71,3,266,596,833
299,1,6,79,908
299,3,826,1042,923
331,1,6,299,491
331,3,554,1046,446
689,1,6,303,502
689,3,25,226,432
338,1,2,294,506
338,3,263,71,980
306,1,2,1033,71
302,1,7,925,745
302,2,246,281,1512
887,1,6,159,128
327,1,6,717,1593
327,3,592,595,762
303,1,6,56,1258
258,1,6,194,1515
258,2,68,204,1665
1000,1,2,385,1034
1000,3,2179,871,568
186,1,2,455,1083
173,1,1,121,60
173,2,181,216,958
173,3,420,651,478
153,1,2,167,9
153,3,534,290,438
238,1,5,85,905
238,3,416,117,1338
154,1,2,712,896
154,2,168,168,1118
154,3,539,168,328
201,1,2,211,1558
201,2,185,184,1395
201,3,615,184,419
433,1,2,211,275
455,1,3,399,659
210,1,3,117,507
210,2,84,174,525
210,3,193,50,702
692,1,2,4,271
692,2,181,209,873
692,3,609,358,242
202,1,2,201,147
168,1,1,121,678
168,2,9,175,1497
168,3,534,153,1376
209,1,2,502,556
209,2,181,216,252
211,1,2,21,727
4,1,2,407,37
4,2,6,386,1658
4,3,15,712,335
290,1,2,732,759
290,3,534,168,644
194,1,5,186,593
194,2,190,435,807
194,3,643,435,1619
204,1,2,502,1499
204,2,68,258,269
204,3,670,386,1672
208,1,2,167,828
430,1,2,502,747
792,1,2,211,223
792,2,15,502,571
648,1,2,154,855
502,1,2,94,1615
502,2,15,792,504
216,1,6,127,406
216,2,181,173,1260
216,3,194,181,1239
175,1,9,222,405
175,2,9,168,741
175,3,592,187,694
17,1,3,79,1620
435,1,6,79,1046
435,2,190,194,862
435,3,294,523,276
732,1,2,648,1392
732,3,536,290,440
109,1,2,648,1217
871,1,2,216,1559
871,3,2179,1000,68
21,1,3,195,869
523,1,6,515,474
523,3,294,435,1491
407,1,2,209,126
407,3,1106,384,789
999,1,2,792,6
999,3,10,80,1613
393,1,2,648,1371
393,2,95,94,574
85,1,6,211,952
167,1,2,85,1250
451,1,8,692,345
451,3,12,4,851
376,1,2,386,1519
731,1,2,792,567
399,1,3,403,1164
712,1,6,85,1264
712,3,15,4,1054
80,1,2,433,950
80,3,10,999,1433
94,1,2,4,1276
94,2,95,393,760
386,1,2,204,1143
386,2,6,4,553
386,3,670,204,1351
384,1,2,692,1325
384,3,1106,407,560
358,1,3,144,1367
358,3,609,692,1067
144,1,4,89,38
96,1,3,385,95
96,2,98,385,1411
96,3,343,195,8
172,1,3,385,1472
172,3,193,50,829
89,1,4,4,1658
89,3,193,79,293
